[0.00-0.05),52294,129,52423,0.25%
[0.05-0.10),46442,192,46634,0.41%
[0.10-0.15),47063,308,47371,0.65%
[0.15-0.20),53167,424,53591,0.79%
[0.20-0.25),56962,584,57546,1.01%
[0.25-0.30),53328,619,53947,1.15%
[0.30-0.35),45437,571,46008,1.24%
[0.35-0.40),36140,538,36678,1.47%
[0.40-0.45),27130,465,27595,1.69%
[0.45-0.50),19690,355,20045,1.77%
[0.50-0.55),14609,323,14932,2.16%
[0.55-0.60),10783,297,11080,2.68%
[0.60-0.65),8138,258,8396,3.07%
[0.65-0.70),6262,233,6495,3.59%
[0.70-0.75),4946,212,5158,4.11%
[0.75-0.80),3818,186,4004,4.65%
[0.80-0.85),3076,201,3277,6.13%
[0.85-0.90),2231,153,2384,6.42%
[0.90-0.95),1572,147,1719,8.55%
[0.95-1.00),655,62,717,8.65%
,493743,6257,,
